type,value,duration,time,offset
Time 0,,0,0.002,0
New Segment,,0,0.002,0
Stimulus,30,1,342.24,0
Stimulus,40,1,350.672,0
Stimulus,50,1,365.228,0
Stimulus,160,1,374.92,0
Stimulus,20,1,382.142,0
Stimulus,150,1,389.072,0
Stimulus,100,1,398.004,0
Stimulus,50,1,404.834,0
Stimulus,150,1,412.21,0
Stimulus,10,1,412.21,0
Stimulus,30,1,416.46,0
Stimulus,40,1,425.502,0
Stimulus,50,1,428.06,0
Stimulus,150,1,436.864,0
Stimulus,100,1,440.944,0
Stimulus,50,1,444.862,0
Stimulus,110,1,450.098,0
Stimulus,20,1,454.0,0
Stimulus,150,1,462.406,0
Stimulus,10,1,462.406,0
Stimulus,30,1,465.876,0
Stimulus,40,1,469.016,0
Stimulus,50,1,473.666,0
Stimulus,150,1,477.792,0
Stimulus,100,1,482.556,0
Stimulus,160,1,495.36,0
Stimulus,20,1,499.18,0
Stimulus,50,1,502.652,0
Stimulus,110,1,509.442,0
Stimulus,20,1,516.57,0
Stimulus,150,1,525.708,0
Stimulus,10,1,525.71,0
Stimulus,30,1,529.582,0
Stimulus,40,1,531.998,0
Stimulus,50,1,534.082,0
Stimulus,150,1,538.0,0
Stimulus,110,1,541.416,0
Stimulus,20,1,543.832,0
Stimulus,100,1,545.844,0
Stimulus,60,1,553.446,0
Stimulus,20,1,555.954,0
Stimulus,50,1,557.47,0
Stimulus,150,1,561.416,0
Stimulus,10,1,561.418,0
Stimulus,30,1,564.662,0
Stimulus,40,1,565.998,0
Stimulus,60,1,568.5,0
Stimulus,20,1,570.318,0
Stimulus,50,1,571.86,0
Stimulus,110,1,577.388,0
Stimulus,20,1,579.512,0
Stimulus,150,1,582.65,0
Stimulus,100,1,589.22,0
Stimulus,60,1,594.124,0
Stimulus,20,1,595.622,0
Stimulus,50,1,597.432,0
Stimulus,150,1,599.968,0
Stimulus,10,1,599.97,0
Stimulus,30,1,603.316,0
Stimulus,40,1,606.844,0
Stimulus,60,1,609.552,0
Stimulus,20,1,611.608,0
Stimulus,50,1,612.816,0
Stimulus,120,1,617.692,0
Stimulus,20,1,618.914,0
Stimulus,150,1,623.122,0
Stimulus,100,1,629.024,0
Stimulus,50,1,632.246,0
Stimulus,150,1,634.748,0
Stimulus,10,1,634.75,0
Stimulus,30,1,728.396,0
Stimulus,40,1,729.426,0
Stimulus,120,1,735.55,0
Stimulus,160,1,745.466,0
Stimulus,120,1,753.394,0
Stimulus,60,1,757.964,0
Stimulus,160,1,761.658,0
Stimulus,10,1,761.662,0
Stimulus,200,1,773.66,0
Stimulus,210,1,788.758,0
Stimulus,34,1,797.076,0
Stimulus,44,1,809.926,0
Stimulus,104,1,813.26,0
Stimulus,54,1,817.05,0
Stimulus,154,1,831.604,0
Stimulus,164,1,840.964,0
Stimulus,24,1,842.63,0
Stimulus,164,1,852.09,0
Stimulus,24,1,855.646,0
Stimulus,154,1,858.174,0
Stimulus,54,1,867.02,0
Stimulus,14,1,867.02,0
Stimulus,34,1,871.046,0
Stimulus,44,1,872.938,0
Stimulus,104,1,889.674,0
Stimulus,54,1,897.228,0
Stimulus,164,1,907.922,0
Stimulus,24,1,910.352,0
Stimulus,154,1,912.006,0
Stimulus,154,1,923.63,0
Stimulus,114,1,927.684,0
Stimulus,24,1,933.046,0
Stimulus,64,1,935.562,0
Stimulus,24,1,937.354,0
Stimulus,54,1,939.644,0
Stimulus,14,1,939.644,0
Stimulus,34,1,942.322,0
Stimulus,44,1,944.296,0
Stimulus,104,1,946.322,0
Stimulus,54,1,951.712,0
Stimulus,154,1,956.6,0
Stimulus,114,1,964.88,0
Stimulus,24,1,967.336,0
Stimulus,154,1,970.436,0
Stimulus,114,1,974.046,0
Stimulus,24,1,975.698,0
Stimulus,54,1,977.948,0
Stimulus,14,1,977.948,0
Stimulus,34,1,980.434,0
Stimulus,44,1,983.018,0
Stimulus,104,1,985.072,0
Stimulus,54,1,1007.406,0
Stimulus,124,1,1014.084,0
Stimulus,24,1,1017.85,0
Stimulus,154,1,1020.294,0
Stimulus,64,1,1027.07,0
Stimulus,24,1,1030.168,0
Stimulus,154,1,1032.544,0
Stimulus,164,1,1037.152,0
Stimulus,24,1,1038.778,0
Stimulus,64,1,1041.764,0
Stimulus,24,1,1042.834,0
Stimulus,54,1,1044.932,0
Stimulus,14,1,1044.932,0
Stimulus,34,1,1047.18,0
Stimulus,44,1,1049.85,0
Stimulus,104,1,1051.946,0
Stimulus,54,1,1056.876,0
Stimulus,114,1,1069.752,0
Stimulus,24,1,1072.806,0
Stimulus,154,1,1076.112,0
Stimulus,154,1,1080.514,0
Stimulus,54,1,1084.53,0
Stimulus,14,1,1084.53,0
Stimulus,34,1,1087.486,0
Stimulus,44,1,1089.044,0
Stimulus,114,1,1093.18,0
Stimulus,24,1,1096.916,0
Stimulus,104,1,1097.806,0
Stimulus,64,1,1101.276,0
Stimulus,24,1,1102.806,0
Stimulus,54,1,1104.75,0
Stimulus,164,1,1116.752,0
Stimulus,24,1,1121.056,0
Stimulus,154,1,1122.374,0
Stimulus,154,1,1125.472,0
Stimulus,54,1,1129.764,0
Stimulus,14,1,1129.766,0
Stimulus,34,1,1222.58,0
Stimulus,44,1,1225.51,0
Stimulus,4,1,1229.912,0
Stimulus,74,1,1235.146,0
Stimulus,164,1,1241.928,0
Stimulus,164,1,1245.884,0
Stimulus,74,1,1247.69,0
Stimulus,14,1,1247.692,0
Stimulus,200,1,1271.122,0
Stimulus,210,1,1286.192,0
Stimulus,36,1,1288.022,0
Stimulus,46,1,1292.302,0
Stimulus,56,1,1295.87,0
Stimulus,106,1,1314.034,0
Stimulus,56,1,1326.866,0
Stimulus,116,1,1341.492,0
Stimulus,26,1,1344.574,0
Stimulus,106,1,1345.852,0
Stimulus,156,1,1357.906,0
Stimulus,16,1,1357.908,0
Stimulus,36,1,1360.962,0
Stimulus,46,1,1363.878,0
Stimulus,66,1,1366.354,0
Stimulus,26,1,1367.908,0
Stimulus,56,1,1369.16,0
Stimulus,106,1,1382.296,0
Stimulus,56,1,1389.812,0
Stimulus,106,1,1399.188,0
Stimulus,166,1,1404.994,0
Stimulus,26,1,1407.906,0
Stimulus,156,1,1412.186,0
Stimulus,16,1,1412.186,0
Stimulus,36,1,1414.794,0
Stimulus,46,1,1416.602,0
Stimulus,56,1,1418.572,0
Stimulus,106,1,1423.1,0
Stimulus,56,1,1434.934,0
Stimulus,116,1,1445.642,0
Stimulus,26,1,1448.336,0
Stimulus,106,1,1452.516,0
Stimulus,66,1,1459.224,0
Stimulus,26,1,1463.67,0
Stimulus,156,1,1467.378,0
Stimulus,16,1,1467.378,0
Stimulus,36,1,1470.362,0
Stimulus,46,1,1472.892,0
Stimulus,56,1,1474.782,0
Stimulus,106,1,1480.864,0
Stimulus,116,1,1485.324,0
Stimulus,26,1,1489.402,0
Stimulus,56,1,1491.792,0
Stimulus,136,1,1500.542,0
Stimulus,26,1,1502.558,0
Stimulus,106,1,1506.556,0
Stimulus,166,1,1510.668,0
Stimulus,26,1,1512.834,0
Stimulus,156,1,1514.96,0
Stimulus,16,1,1514.96,0
Stimulus,36,1,1517.514,0
Stimulus,46,1,1520.056,0
Stimulus,56,1,1521.918,0
Stimulus,106,1,1526.016,0
Stimulus,56,1,1531.778,0
Stimulus,106,1,1534.238,0
Stimulus,196,1,1536.278,0
Stimulus,26,1,1541.388,0
Stimulus,166,1,1544.654,0
Stimulus,26,1,1547.694,0
Stimulus,156,1,1549.058,0
Stimulus,16,1,1549.058,0
Stimulus,36,1,1551.29,0
Stimulus,46,1,1553.96,0
Stimulus,56,1,1556.15,0
Stimulus,106,1,1559.266,0
Stimulus,56,1,1562.67,0
Stimulus,106,1,1564.542,0
Stimulus,156,1,1567.598,0
Stimulus,16,1,1567.598,0
Stimulus,36,1,1660.482,0
Stimulus,46,1,1661.122,0
Stimulus,6,1,1663.204,0
Stimulus,6,1,1666.622,0
Stimulus,6,1,1669.594,0
Stimulus,6,1,1672.08,0
Stimulus,6,1,1675.442,0
Stimulus,16,1,1675.446,0
Stimulus,200,1,1693.288,0
Stimulus,210,1,1696.648,0
Stimulus,33,1,1707.232,0
Stimulus,43,1,1719.536,0
Stimulus,103,1,1721.426,0
Stimulus,53,1,1729.798,0
Stimulus,103,1,1736.996,0
Stimulus,53,1,1743.174,0
Stimulus,153,1,1748.688,0
Stimulus,13,1,1748.69,0
Stimulus,33,1,1751.006,0
Stimulus,43,1,1752.686,0
Stimulus,73,1,1756.048,0
Stimulus,23,1,1759.158,0
Stimulus,103,1,1762.368,0
Stimulus,63,1,1766.77,0
Stimulus,23,1,1768.618,0
Stimulus,53,1,1769.768,0
Stimulus,103,1,1774.242,0
Stimulus,53,1,1781.576,0
Stimulus,113,1,1786.282,0
Stimulus,23,1,1788.352,0
Stimulus,153,1,1792.618,0
Stimulus,13,1,1792.62,0
Stimulus,33,1,1795.338,0
Stimulus,43,1,1796.604,0
Stimulus,113,1,1798.56,0
Stimulus,23,1,1800.022,0
Stimulus,113,1,1801.756,0
Stimulus,23,1,1803.032,0
Stimulus,103,1,1806.408,0
Stimulus,53,1,1811.618,0
Stimulus,103,1,1817.38,0
Stimulus,53,1,1821.282,0
Stimulus,153,1,1824.744,0
Stimulus,13,1,1824.744,0
Stimulus,33,1,1827.322,0
Stimulus,43,1,1828.546,0
Stimulus,113,1,1832.128,0
Stimulus,23,1,1834.256,0
Stimulus,113,1,1836.686,0
Stimulus,23,1,1837.714,0
Stimulus,103,1,1839.55,0
Stimulus,53,1,1844.354,0
Stimulus,103,1,1849.004,0
Stimulus,53,1,1852.716,0
Stimulus,153,1,1856.198,0
Stimulus,13,1,1856.2,0
Stimulus,33,1,1859.238,0
Stimulus,43,1,1859.798,0
Stimulus,103,1,1863.49,0
Stimulus,53,1,1868.768,0
Stimulus,103,1,1874.006,0
